Old profile URL,New profile URL,Pick,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/aerospace-engineer,126,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/biologist,127,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/construction-site-supervisor,127,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/conference-and-exhibition-manager,128,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/stockbroker,128,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/criminal-intelligence-analyst,129,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/hotel-manager,134,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/steel-erector,134,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/insurance-underwriter,135,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/newspaper-journalist,135,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/butcher,136,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/gardener,137,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/army-officer,138,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/cognitive-behavioural-therapist,140,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/speech-and-language-therapist,140,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/head-chef,141,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/hotel-reservations-assistant,141,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/learning-disability-nurse,141,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/ofsted-inspector,141,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/street-food-trader,141,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/qcf-assessor,142,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/podiatrist,144,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/airline-pilot,145,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/hospital-doctor,146,,,,,
