URL,Pick
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CourtLegalAdviser.aspx,561
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CourtUsher.aspx,767
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CreditController.aspx,551
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CreditManager.aspx,622
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CrematoriumTechnician.aspx,206
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CriminalIntelligenceAnalyst.aspx,430
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CriticalCareTechnologist.aspx,569
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Croupier.aspx,678
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CrownProsecutor.aspx,765
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CruiseShipSteward.aspx,405
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CustomerServiceAssistant.aspx,632
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CustomerServicesManager.aspx,521
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CustomsOfficer.aspx,125
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/cyclemechanic.aspx,89
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/cyclingcoach.aspxdancemovementpsychotherapist.aspx,307
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Dancer.aspx,555
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DanceTeacher.aspx,208
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DataAnalyst-Statistician.aspx,683
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DatabaseAdministrator.aspx,97
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DataEntryClerk.aspx,518
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DeliveryVanDriver.aspx,374
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DemolitionOperative.aspx,45
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DentalHygienist.aspx,431
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Dentalnurse.aspx,570
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DentalNurse.aspx,768
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DentalTechnician.aspx,333
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DentalTherapist.aspx,21
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Dentist.aspx,143
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DesignEngineer.aspx,27
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Dietitian.aspx,572
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/digitalmarketingofficer.aspx,518
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DiplomaticServiceOfficer.aspx,596
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DispensingOptician.aspx,294
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DistrictNurse.aspx,324
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Districtnurse.aspx,695
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Diver.aspx,74
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DJ.aspx,662
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Doctor-GP.aspx,194
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DogGroomer.aspx,277
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DogHandler.aspx,220
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DomesticApplianceServiceEngineer.aspx,713
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DomesticEnergyAssessor.aspx,191
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Doorsupervisor.aspx,160
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Dramatherapist.aspx,440
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Dressmaker.aspx,142
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DrivingInstructor.aspx,588
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DrugandAlcoholWorker.aspx,551
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Dry-Cleaner.aspx,823
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DryLiner.aspx,467
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/E-LearningDeveloper.aspx,823
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Earlyyearsteacher.aspx,261
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Ecologist.aspx,483
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/EconomicDevelopmentOfficer.aspx,459
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Economist.aspx,20
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/EditorialAssistant.aspx,167
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/EducationTechnician.aspx,15
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/EducationWelfareOfficer.aspx,264
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/EFLTeacher.aspx,6
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ElectricalEngineer.aspx,80
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ElectricalEngineeringTechnician.aspx,613
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Electrician.aspx,589
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ElectricityDistributionWorker.aspx,151
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ElectricityGenerationWorker.aspx,476
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ElectronicsEngineer.aspx,234
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ElectronicsEngineeringTechnician.aspx,620
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Embalmer.aspx,207
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/EmergencyCareAssistant.aspx,796
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/EmergencyMedicalDispatcher.aspx,543
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/EnergyEngineer.aspx,750
